Master_ID,Child_ID,Relation_Type,Extracted_Date
419,90001,Put,2019-11-14
499,90002,It,2019-11-14
271,90003,At,2019-11-14
296,90004,Indeed,2019-11-14
358,90005,Me,2019-11-14
333,90006,Quickly,2019-11-14
119,90007,Summer,2019-11-14
101,90008,Describe,2019-11-14
42,90009,In,2019-11-14
900,90010,Change,2019-11-14
514,90011,Sort,2019-11-14
717,90012,Campaign,2019-11-14
970,90013,Goal,2019-11-14
416,90014,Matter,2019-11-14
520,90015,Enter,2019-11-14
583,90016,Ago,2019-11-14
307,90017,Project,2019-11-14
422,90018,Half,2019-11-14
720,90019,Computer,2019-11-14
6,90020,Budget,2019-11-14
976,90021,Soldier,2019-11-14
20,90022,Require,2019-11-14
474,90023,Republican,2019-11-14
197,90024,Painting,2019-11-14
446,90025,Respond,2019-11-14
481,90026,Soldier,2019-11-14
201,90027,Make,2019-11-14
220,90028,Return,2019-11-14
206,90029,Factor,2019-11-14
28,90030,Thus,2019-11-14
900,90031,Trial,2019-11-14
167,90032,Claim,2019-11-14
596,90033,Myself,2019-11-14
98,90034,Nice,2019-11-14
167,90035,Eye,2019-11-14
969,90036,Put,2019-11-14
206,90037,Perhaps,2019-11-14
55,90038,Both,2019-11-14
404,90039,Enjoy,2019-11-14
157,90040,Western,2019-11-14
453,90041,Amount,2019-11-14
57,90042,Beautiful,2019-11-14
778,90043,Soldier,2019-11-14
732,90044,Step,2019-11-14
380,90045,Quality,2019-11-14
327,90046,Example,2019-11-14
374,90047,Organization,2019-11-14
533,90048,House,2019-11-14
358,90049,Two,2019-11-14
153,90050,Inside,2019-11-14
992,90051,Though,2019-11-14
970,90052,Skill,2019-11-14
2,90053,Cost,2019-11-14
506,90054,Here,2019-11-14
627,90055,Report,2019-11-14
551,90056,Arm,2019-11-14
14,90057,Assume,2019-11-14
548,90058,Control,2019-11-14
155,90059,Parent,2019-11-14
482,90060,Question,2019-11-14
838,90061,Example,2019-11-14
601,90062,West,2019-11-14
213,90063,Media,2019-11-14
290,90064,Central,2019-11-14
860,90065,Oil,2019-11-14
738,90066,Again,2019-11-14
982,90067,Foreign,2019-11-14
135,90068,Treatment,2019-11-14
940,90069,Order,2019-11-14
549,90070,Meet,2019-11-14
938,90071,Dinner,2019-11-14
292,90072,When,2019-11-14
482,90073,This,2019-11-14
285,90074,Arm,2019-11-14
253,90075,Health,2019-11-14
738,90076,Owner,2019-11-14
736,90077,Particular,2019-11-14
22,90078,Store,2019-11-14
498,90079,Painting,2019-11-14
639,90080,Right,2019-11-14
670,90081,Year,2019-11-14
140,90082,Create,2019-11-14
401,90083,Hair,2019-11-14
295,90084,Resource,2019-11-14
645,90085,Reflect,2019-11-14
934,90086,Determine,2019-11-14
851,90087,Herself,2019-11-14
465,90088,Material,2019-11-14
804,90089,Positive,2019-11-14
448,90090,New,2019-11-14
575,90091,Speech,2019-11-14
473,90092,Doctor,2019-11-14
403,90093,Newspaper,2019-11-14
949,90094,Explain,2019-11-14
340,90095,Some,2019-11-14
121,90096,Relate,2019-11-14
201,90097,Generation,2019-11-14
144,90098,Including,2019-11-14
100,90099,Likely,2019-11-14
67,90100,Fact,2019-11-14
956,90101,President,2019-11-14
809,90102,What,2019-11-14
253,90103,Growth,2019-11-14
966,90104,In,2019-11-14
38,90105,Manager,2019-11-14
46,90106,Clear,2019-11-14
364,90107,Real,2019-11-14
258,90108,Role,2019-11-14
194,90109,Nice,2019-11-14
487,90110,Side,2019-11-14
667,90111,Senior,2019-11-14
769,90112,Field,2019-11-14
958,90113,Benefit,2019-11-14
406,90114,Choose,2019-11-14
997,90115,Accept,2019-11-14
621,90116,Meeting,2019-11-14
663,90117,Mission,2019-11-14
188,90118,Power,2019-11-14
124,90119,Measure,2019-11-14
1,90120,They,2019-11-14
271,90121,Investment,2019-11-14
259,90122,Station,2019-11-14
825,90123,Charge,2019-11-14
601,90124,Look,2019-11-14
897,90125,Style,2019-11-14
828,90126,Decide,2019-11-14
505,90127,Between,2019-11-14
166,90128,Foreign,2019-11-14
503,90129,Even,2019-11-14
290,90130,Try,2019-11-14
213,90131,Believe,2019-11-14
367,90132,Defense,2019-11-14
324,90133,Find,2019-11-14
482,90134,Account,2019-11-14
645,90135,Whether,2019-11-14
867,90136,Theory,2019-11-14
732,90137,When,2019-11-14
309,90138,Fire,2019-11-14
213,90139,Sing,2019-11-14
929,90140,Usually,2019-11-14
337,90141,Something,2019-11-14
805,90142,Act,2019-11-14
354,90143,Individual,2019-11-14
589,90144,Paper,2019-11-14
719,90145,Exist,2019-11-14
