Master_ID,Child_ID,Relation_Type,Extracted_Date
372,90001,Strong,2019-11-13
223,90002,Seven,2019-11-13
918,90003,Open,2019-11-13
373,90004,Feeling,2019-11-13
759,90005,Know,2019-11-13
741,90006,Others,2019-11-13
458,90007,After,2019-11-13
291,90008,Nature,2019-11-13
974,90009,Particularly,2019-11-13
330,90010,Lose,2019-11-13
567,90011,Name,2019-11-13
148,90012,Serious,2019-11-13
286,90013,Toward,2019-11-13
803,90014,Any,2019-11-13
268,90015,Mrs,2019-11-13
472,90016,Within,2019-11-13
640,90017,Important,2019-11-13
45,90018,I,2019-11-13
309,90019,Site,2019-11-13
465,90020,Start,2019-11-13
946,90021,According,2019-11-13
526,90022,Add,2019-11-13
998,90023,Point,2019-11-13
110,90024,Event,2019-11-13
747,90025,Series,2019-11-13
993,90026,Car,2019-11-13
813,90027,Number,2019-11-13
52,90028,Place,2019-11-13
810,90029,Another,2019-11-13
710,90030,Generation,2019-11-13
630,90031,Billion,2019-11-13
964,90032,Simply,2019-11-13
302,90033,Usually,2019-11-13
990,90034,Yeah,2019-11-13
598,90035,Production,2019-11-13
654,90036,Her,2019-11-13
551,90037,Region,2019-11-13
633,90038,Own,2019-11-13
800,90039,Dark,2019-11-13
983,90040,Pressure,2019-11-13
230,90041,Inside,2019-11-13
113,90042,Continue,2019-11-13
320,90043,First,2019-11-13
160,90044,Citizen,2019-11-13
848,90045,Page,2019-11-13
465,90046,Various,2019-11-13
943,90047,Girl,2019-11-13
730,90048,Job,2019-11-13
754,90049,Live,2019-11-13
507,90050,Crime,2019-11-13
880,90051,Chance,2019-11-13
924,90052,Hair,2019-11-13
787,90053,Forget,2019-11-13
17,90054,Since,2019-11-13
637,90055,Church,2019-11-13
456,90056,Education,2019-11-13
888,90057,Manager,2019-11-13
389,90058,Experience,2019-11-13
975,90059,Along,2019-11-13
123,90060,Star,2019-11-13
84,90061,List,2019-11-13
185,90062,Card,2019-11-13
701,90063,Education,2019-11-13
92,90064,Way,2019-11-13
933,90065,Leg,2019-11-13
205,90066,Talk,2019-11-13
858,90067,Prevent,2019-11-13
184,90068,Level,2019-11-13
653,90069,Only,2019-11-13
553,90070,Religious,2019-11-13
138,90071,Painting,2019-11-13
967,90072,Spring,2019-11-13
152,90073,Item,2019-11-13
434,90074,Without,2019-11-13
288,90075,Two,2019-11-13
944,90076,Hand,2019-11-13
727,90077,Last,2019-11-13
790,90078,Morning,2019-11-13
839,90079,Bit,2019-11-13
783,90080,Sometimes,2019-11-13
99,90081,Story,2019-11-13
394,90082,Debate,2019-11-13
709,90083,Drop,2019-11-13
229,90084,Assume,2019-11-13
309,90085,Teacher,2019-11-13
774,90086,Indicate,2019-11-13
755,90087,Five,2019-11-13
160,90088,Early,2019-11-13
502,90089,Include,2019-11-13
607,90090,Language,2019-11-13
166,90091,Fine,2019-11-13
603,90092,College,2019-11-13
428,90093,Away,2019-11-13
240,90094,Plan,2019-11-13
889,90095,Contain,2019-11-13
712,90096,Person,2019-11-13
876,90097,Increase,2019-11-13
426,90098,Democrat,2019-11-13
569,90099,Camera,2019-11-13
454,90100,Our,2019-11-13
256,90101,Hand,2019-11-13
250,90102,Place,2019-11-13
223,90103,Mind,2019-11-13
401,90104,Plant,2019-11-13
607,90105,Figure,2019-11-13
540,90106,Close,2019-11-13
683,90107,Year,2019-11-13
424,90108,Seem,2019-11-13
958,90109,Tree,2019-11-13
250,90110,Market,2019-11-13
773,90111,Brother,2019-11-13
721,90112,Identify,2019-11-13
809,90113,Maintain,2019-11-13
142,90114,Understand,2019-11-13
420,90115,Feeling,2019-11-13
326,90116,Kind,2019-11-13
12,90117,Find,2019-11-13
582,90118,Over,2019-11-13
367,90119,Member,2019-11-13
989,90120,Must,2019-11-13
597,90121,Rise,2019-11-13
557,90122,Walk,2019-11-13
91,90123,Part,2019-11-13
468,90124,Mean,2019-11-13
609,90125,Area,2019-11-13
766,90126,Test,2019-11-13
484,90127,Surface,2019-11-13
787,90128,Whom,2019-11-13
