Order_ID,Product_Name,Quantity,Order_Date,Extracted_Date
30001,Amy,78.33,2019-11-13,2019-11-13
30002,Kristine,45.43,2019-11-13,2019-11-13
30003,Monique,48.21,2019-11-13,2019-11-13
30004,Jeremy,24.15,2019-11-13,2019-11-13
30005,Tracy,91.32,2019-11-13,2019-11-13
30006,Robin,96.89,2019-11-13,2019-11-13
30007,Austin,52.53,2019-11-13,2019-11-13
30008,Amy,21.82,2019-11-13,2019-11-13
30009,Pamela,78.89,2019-11-13,2019-11-13
30010,Heather,67.19,2019-11-13,2019-11-13
30011,James,71.18,2019-11-13,2019-11-13
30012,Tyler,88.8,2019-11-13,2019-11-13
30013,Stephen,96.5,2019-11-13,2019-11-13
30014,Wendy,69.46,2019-11-13,2019-11-13
30015,Elizabeth,46.15,2019-11-13,2019-11-13
30016,Melissa,92.07,2019-11-13,2019-11-13
30017,Dorothy,44.89,2019-11-13,2019-11-13
30018,Jason,37.23,2019-11-13,2019-11-13
30019,Haley,42.84,2019-11-13,2019-11-13
30020,Elizabeth,28.74,2019-11-13,2019-11-13
30021,Colin,25.13,2019-11-13,2019-11-13
30022,Elizabeth,59.21,2019-11-13,2019-11-13
30023,Joy,65.56,2019-11-13,2019-11-13
30024,Sarah,53.77,2019-11-13,2019-11-13
30025,Sylvia,88.74,2019-11-13,2019-11-13
30026,William,50.35,2019-11-13,2019-11-13
30027,Michael,24.05,2019-11-13,2019-11-13
30028,Melissa,48.25,2019-11-13,2019-11-13
30029,Derek,83.91,2019-11-13,2019-11-13
30030,Michael,37.6,2019-11-13,2019-11-13
30031,Debra,28.5,2019-11-13,2019-11-13
30032,Diana,71.69,2019-11-13,2019-11-13
30033,John,48.98,2019-11-13,2019-11-13
30034,Shelly,88.36,2019-11-13,2019-11-13
30035,Nicole,84.63,2019-11-13,2019-11-13
30036,David,52.0,2019-11-13,2019-11-13
30037,Jennifer,64.71,2019-11-13,2019-11-13
30038,Kimberly,78.63,2019-11-13,2019-11-13
30039,Steven,30.01,2019-11-13,2019-11-13
30040,Jason,51.42,2019-11-13,2019-11-13
30041,Ivan,30.34,2019-11-13,2019-11-13
30042,Carol,51.03,2019-11-13,2019-11-13
30043,Patricia,83.65,2019-11-13,2019-11-13
30044,Robert,41.46,2019-11-13,2019-11-13
30045,Tina,75.78,2019-11-13,2019-11-13
30046,Jennifer,60.27,2019-11-13,2019-11-13
30047,Brian,31.62,2019-11-13,2019-11-13
30048,Crystal,36.6,2019-11-13,2019-11-13
30049,Luis,61.73,2019-11-13,2019-11-13
30050,Tonya,77.5,2019-11-13,2019-11-13
30051,Theresa,45.4,2019-11-13,2019-11-13
30052,George,52.82,2019-11-13,2019-11-13
30053,Krista,58.02,2019-11-13,2019-11-13
30054,Emily,51.5,2019-11-13,2019-11-13
30055,Dylan,74.78,2019-11-13,2019-11-13
30056,Angela,59.26,2019-11-13,2019-11-13
30057,Michael,32.04,2019-11-13,2019-11-13
30058,Denise,72.43,2019-11-13,2019-11-13
30059,Angela,78.37,2019-11-13,2019-11-13
30060,Brandon,91.46,2019-11-13,2019-11-13
30061,David,67.44,2019-11-13,2019-11-13
30062,Brandi,72.69,2019-11-13,2019-11-13
30063,Sarah,98.78,2019-11-13,2019-11-13
30064,Barbara,62.68,2019-11-13,2019-11-13
30065,Ethan,26.21,2019-11-13,2019-11-13
30066,Sarah,76.49,2019-11-13,2019-11-13
30067,Shawn,77.76,2019-11-13,2019-11-13
30068,Charlotte,39.97,2019-11-13,2019-11-13
30069,Jeremy,27.39,2019-11-13,2019-11-13
30070,James,87.66,2019-11-13,2019-11-13
30071,Ethan,36.42,2019-11-13,2019-11-13
30072,Anthony,34.68,2019-11-13,2019-11-13
30073,Brian,30.68,2019-11-13,2019-11-13
30074,Tami,33.26,2019-11-13,2019-11-13
30075,John,20.91,2019-11-13,2019-11-13
30076,Robert,45.12,2019-11-13,2019-11-13
30077,Lauren,86.66,2019-11-13,2019-11-13
30078,Becky,25.27,2019-11-13,2019-11-13
30079,Ryan,99.07,2019-11-13,2019-11-13
30080,William,20.51,2019-11-13,2019-11-13
30081,Stephanie,37.99,2019-11-13,2019-11-13
30082,Jeremy,38.84,2019-11-13,2019-11-13
